rank,Movie Title,Worldwide,Domestic,dom %,Foreign,For %
128,Blue Giant,$5604267,-,-,$5604267,100%
129,Infelices para Siempre,$5602272,-,-,$5602272,100%
130,The Chosen Season 3 Finale,$5589142,$5525069,98.9%,$64073,1.1%
131,Little Bird: The Big Quest,$5476462,-,-,$5476462,100%
132,Nefarious,$5433685,$5433685,100%,-,-
133,10 jours encore sans maman,$5421529,-,-,$5421529,100%
134,Detective Conan: Episode of Ai Haibara - Black Iron Mystery Train,$5336693,-,-,$5336693,100%
135,¡Vaya vacaciones!,$5248395,-,-,$5248395,100%
136,Infinity Pool,$5183424,$5078400,98%,$105024,2%
137,Phantom,$5173638,-,-,$5173638,100%
138,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),$5166455,-,-,$5166455,100%
139,Rebound,$5145202,-,-,$5145202,100%
140,The Unlikely Pilgrimage of Harold Fry,$5137171,-,-,$5137171,100%
141,Chi Chi Em Em 2,$5109674,-,-,$5109674,100%
142,Shylock's Children,$5102646,-,-,$5102646,100%
143,Allelujah,$5035719,-,-,$5035719,100%
144,Ponniyin Selvan: Part Two,$5035633,$3813000,75.7%,$1222633,24.3%
145,Me contro Te - il Film: Missione Giungla,$5031684,-,-,$5031684,100%
146,Someday or One Day,$5009619,-,-,$5009619,100%
147,Just the Two of Us,$4965555,-,-,$4965555,100%
148,Winnie the Pooh: Blood and Honey,$4941200,$1750639,35.4%,$3190561,64.6%
149,Emergency Landing,$4649030,-,-,$4649030,100%
150,SSSS.Gridman,$4636916,-,-,$4636916,100%
151,Sage homme,$4613332,-,-,$4613332,100%
152,2018,$4547765,-,-,$4547765,100%
153,IM HERO THE FINAL,$4514656,-,-,$4514656,100%
154,Last Night of Amore,$4497632,-,-,$4497632,100%
155,Mari(dos),$4483495,-,-,$4483495,100%
156,Maamannan,$4463992,-,-,$4463992,100%
157,Maybe I Do,$4450096,$1293722,29.1%,$3156374,70.9%
158,Rehragout Rendezvous,$4447923,-,-,$4447923,100%
159,Nyurnberg,$4354380,-,-,$4354380,100%
160,Rocky Aur Rani Kii Prem Kahaani,$4310347,-,-,$4310347,100%
161,The Book of Wonders,$4288644,-,-,$4288644,100%
162,When Will It Be Again Like It Never Was Before,$4282908,-,-,$4282908,100%
163,¡Que viva México!,$4218942,$161222,3.8%,$4057720,96.2%
164,Les vengeances de Maître Poutifard,$4103395,-,-,$4103395,100%
165,Marry My Dead Body,$4045026,-,-,$4045026,100%
166,Tu Jhoothi Main Makkaar,$4035915,$2503604,62%,$1532311,38%
167,Touken Ranbu 2,$4025574,-,-,$4025574,100%
168,The Moon,$3995351,$41745,1%,$3953606,99%
169,Chevalier,$3964534,$3541159,89.3%,$423375,10.7%
170,Kutsal Damacana 4,$3890946,-,-,$3890946,100%
171,Kokan Uso Nikki,$3867992,-,-,$3867992,100%
172,Satyaprem Ki Katha,$3846238,-,-,$3846238,100%
173,Unprincipled in the Village,$3842262,-,-,$3842262,100%
174,The Sitting Duck,$3832453,-,-,$3832453,100%
175,Nemesis the Movie: Mystery of Golden Spiral,$3821231,-,-,$3821231,100%
176,Un homme heureux,$3791739,-,-,$3791739,100%
177,O chem govoryat muzhchiny. Prostyye udovolstviya,$3686446,-,-,$3686446,100%
178,A Great Friend,$3664736,-,-,$3664736,100%
179,Left Behind: Rise of the Antichrist,$3649422,$3649422,100%,-,-
180,The Journey: A Music Special from Andrea Bocelli,$3598985,$3574915,99.3%,$24070,0.7%
181,Neposredstvenno Kakha. Drugoy film,$3593737,-,-,$3593737,100%
182,Les déguns 2,$3559688,-,-,$3559688,100%
183,A Thousand and One,$3463680,$3400020,98.2%,$63660,1.8%
184,The Black Demon,$3446755,-,-,$3446755,100%
185,Theater Camp,$3427908,$3427908,100%,-,-
186,Lassie - A New Adventure,$3419568,-,-,$3419568,100%
187,Carry on Jatta 3,$3353522,-,-,$3353522,100%
188,Neposlushnaya,$3339676,-,-,$3339676,100%
189,The Communion Girl,$3331181,-,-,$3331181,100%
190,Con Nhot Mot Chong,$3217638,-,-,$3217638,100%
191,Tramite amicizia,$3212885,-,-,$3212885,100%
192,My Beautiful Man: Eternal,$3147751,-,-,$3147751,100%
193,Switch,$3146901,-,-,$3146901,100%
194,Saigo made Iku,$3135462,-,-,$3135462,100%
195,Jailer,$3127992,-,-,$3127992,100%
196,Asterix & Obelix: Mission Cleopatra 2023 Re-release,$3088070,-,-,$3088070,100%
197,To Catch a Killer,$3079055,-,-,$3079055,100%
198,2023 Oscar Nominated Short Films: Live Action,$3025631,$3025631,100%,-,-
199,John Farnham: Finding the Voice,$3007640,-,-,$3007640,100%
200,Count,$2988798,-,-,$2988798,100%
